,model_name,case,preprocessing,accuracy,adjusted_balanced_accuracy,balanced_accuracy,f1,geometric_mean,roc_auc,fit_time,predict_time
38,SGD,ternary,LDA,0.6102427219845296,0.2957790510758772,0.5305193673839181,0.5938631281585255,0.4828379007021743,0.6476172919327601,0.1245497703552246,0.0024127960205078125
39,LinearSVC_b_iso-calib,ternary,LDA,0.6098616192317097,0.3024895724734277,0.5349930483156184,0.5955495280269474,0.4918346510444637,0.7469182042521771,19.27427158355713,0.04232068061828613
40,SGD_b_iso-calib,ternary,LDA,0.6097789683922868,0.30264882407741983,0.5350992160516133,0.5955207820936688,0.49203511716502435,0.7469109961849107,0.7166588306427002,0.04720010757446289
41,SGD_iso-calib,ternary,LDA,0.60956510032582,0.3004027917091052,0.5336018611394034,0.5945291833768459,0.48820056574901116,0.7466936022122883,0.6560631275177002,0.04421238899230957
42,LinearSVC_sig-calib,ternary,LDA,0.6089610061441669,0.29948760935545266,0.5329917395703017,0.5948344636787267,0.49136326383785844,0.7469760679940932,20.353637981414796,0.024688291549682616
43,SGD_sig-calib,ternary,LDA,0.6088746592606133,0.29840756005915814,0.5322717067061054,0.5944016617682122,0.4896319867530649,0.7468314595421841,0.8507024765014648,0.01977367401123047
44,LinearSVC_b_sig-calib,ternary,LDA,0.6087656320661462,0.2995387798702928,0.5330258532468619,0.594761949378291,0.49172669692140814,0.7470108112245262,19.85915355682373,0.018899202346801758
45,SGD_b_sig-calib,ternary,LDA,0.608703860815298,0.2994705140975814,0.5329803427317208,0.5947194862702683,0.4917812961593979,0.7469988822924798,0.9703011512756348,0.027125740051269533
46,GaussianNB_acc,ternary,LDA,0.6080952725849047,0.29206656292800875,0.5280443752853391,0.5926039710346265,0.48551713197714275,0.7483163257734959,2.5614035606384276,0.0015193462371826173
47,GaussianNB_f1,ternary,LDA,0.6080605408209065,0.2926169554297739,0.5284113036198492,0.5927597986291087,0.48623372647346663,0.7482798729732606,2.6459391593933104,0.003122377395629883
48,GaussianNB_f1,ternary,resampled_LDA,0.5560741722924352,0.3470032688488239,0.564668845899216,0.5640606664466381,0.5596176756956942,0.743775709802312,3.937028169631958,0.006649637222290039
49,GaussianNB_balacc,ternary,LDA,0.6079902661188393,0.2926855452932158,0.5284570301954771,0.5927591233145091,0.48642872385674263,0.7482671768408407,2.7161261081695556,0.002483701705932617
50,GaussianNB_iso-calib,ternary,LDA,0.6075385084555919,0.30294771189450426,0.5352984745963362,0.5946832568174586,0.4963285346311045,0.7483692750751848,0.11899852752685547,0.04670958518981934
51,GaussianNB_sig-calib,ternary,LDA,0.6069477649449804,0.2942057709124481,0.529470513941632,0.5925127151443219,0.48887642479414206,0.7467008278761273,0.33668951988220214,0.033254814147949216
52,LogRegCV_acc,ternary,LDA,0.6066712883449598,0.29254848301220154,0.5283656553414676,0.5922402358904939,0.48869745946820753,0.7486529930294552,1.986778974533081,0.001399087905883789
53,LogRegCV_f1,ternary,LDA,0.6064535288482261,0.2933309839634632,0.5288873226423088,0.5924653045106969,0.49028333223139453,0.7486190982644217,1.9503650665283203,0.003124046325683594
54,LogRegCV_balacc,ternary,LDA,0.6064316131235672,0.2936484286265377,0.5290989524176918,0.5925402030659461,0.49068466963915736,0.7486316032339734,1.9364638328552246,0.0014044761657714844
55,SGD_b,ternary,LDA,0.5997533280609233,0.32789523118631997,0.5519301541242133,0.5952582064455886,0.5271686831268749,0.6622139162439351,0.1555110454559326,0.0020514965057373048
56,LinearSVC_b,ternary,LDA,0.5952487565027453,0.3313648661859935,0.5542432441239956,0.5941863168305705,0.5374018770399515,0.6635037272632781,6.3451892852783205,0.0015940189361572266
57,LogRegCV_b_balacc,ternary,LDA,0.5743444051532351,0.35239160597151686,0.5682610706476778,0.5807332598461195,0.563218769940432,0.7508010736491671,2.2078989028930662,0.001674795150756836
58,RidgeCV_b_acc,ternary,LDA,0.5741766997122479,0.3532446050823582,0.5688297367215721,0.5799631043954026,0.5625614094899418,0.672304134004772,0.08841323852539062,0.0017570972442626954
59,RidgeCV_acc,ternary,LDA,0.5741766997122479,0.3532446050823582,0.5688297367215721,0.5799631043954026,0.5625614094899418,0.672304134004772,0.09115843772888184,0.0010007381439208984
60,RidgeCV_b_balacc,ternary,LDA,0.5741766997122479,0.3532446050823582,0.5688297367215721,0.5799631043954026,0.5625614094899418,0.672304134004772,0.10076584815979003,0.0011975765228271484
61,RidgeCV_balacc,ternary,LDA,0.5741766997122479,0.3532446050823582,0.5688297367215721,0.5799631043954026,0.5625614094899418,0.672304134004772,0.10356302261352539,0.001598501205444336
62,RidgeCV_b_f1,ternary,LDA,0.5741766997122479,0.3532446050823582,0.5688297367215721,0.5799631043954026,0.5625614094899418,0.672304134004772,0.1439718246459961,0.003931093215942383
63,RidgeCV_f1,ternary,LDA,0.5741766997122479,0.3532446050823582,0.5688297367215721,0.5799631043954026,0.5625614094899418,0.672304134004772,0.15470266342163086,0.002482318878173828
64,GaussianNB,ternary,LDA,0.6079831717962849,0.2927222223595852,0.5284814815730567,0.5927664052554256,0.48648787649938896,0.748263720284603,0.010671091079711915,0.0037361621856689454
65,GaussianNB_acc,ternary,resampled_LDA,0.5560741722924352,0.3470032688488239,0.564668845899216,0.5640606664466381,0.5596176756956942,0.743775709802312,4.016140174865723,0.001403474807739258
