iter	Passed	Remaining
163	337	1721
164	338	1713
165	339	1705
166	340	1700
167	342	1693
168	343	1687
169	343	1677
170	344	1670
171	345	1663
172	346	1655
173	347	1648
174	347	1640
175	348	1632
176	349	1625
177	350	1617
178	351	1610
179	352	1603
180	353	1597
181	353	1590
182	354	1583
183	355	1577
184	356	1570
185	357	1564
186	358	1557
187	359	1551
188	360	1547
189	361	1542
190	362	1536
191	363	1531
192	365	1526
193	366	1520
194	367	1515
195	368	1510
196	369	1504
197	369	1498
198	370	1492
199	371	1486
200	372	1482
201	373	1476
202	374	1470
203	375	1465
204	376	1459
205	377	1453
206	378	1448
207	379	1443
208	379	1437
209	380	1432
210	381	1427
211	382	1421
212	383	1417
213	384	1412
214	385	1407
215	386	1403
216	387	1399
217	389	1396
218	390	1391
219	391	1386
220	392	1381
221	392	1376
222	393	1371
223	394	1366
224	395	1362
225	396	1357
226	397	1352
227	398	1349
228	399	1345
229	400	1341
230	401	1337
231	402	1332
232	403	1328
233	404	1324
234	405	1319
235	406	1314
236	407	1311
237	408	1307
238	409	1303
239	410	1299
240	411	1295
241	412	1291
242	413	1287
243	414	1283
244	414	1278
245	415	1274
246	416	1270
247	417	1266
248	418	1262
249	419	1258
250	420	1255
251	421	1251
252	422	1247
253	423	1243
254	424	1239
255	425	1236
256	426	1232
257	427	1228
258	428	1224
259	429	1221
260	430	1217
261	430	1214
262	432	1210
263	432	1207
264	433	1203
265	434	1199
266	435	1195
267	436	1191
268	436	1187
269	437	1183
270	438	1180
271	439	1176
272	440	1173
273	441	1169
274	442	1166
275	443	1162
276	443	1158
277	444	1155
278	445	1151
279	446	1147
280	447	1144
281	447	1140
282	448	1136
283	450	1135
284	451	1131
285	452	1128
286	453	1125
287	453	1121
288	454	1117
289	455	1114
290	456	1111
291	457	1108
292	457	1104
293	458	1101
294	459	1098
295	460	1095
296	461	1092
297	462	1088
298	463	1085
299	463	1082
300	464	1079
301	465	1076
302	466	1073
303	467	1070
304	468	1067
305	469	1064
306	470	1061
307	471	1058
308	472	1055
309	473	1052
310	474	1050
311	475	1048
312	476	1046
313	477	1043
314	478	1041
315	479	1038
316	480	1036
317	481	1033
318	482	1030
319	483	1028
320	484	1025
321	485	1022
322	486	1020
323	487	1017
324	488	1015
325	489	1012
326	490	1010
327	491	1007
328	492	1004
329	493	1002
330	494	1000
331	495	996
332	496	995
333	497	992
334	499	990
335	500	988
336	501	985
337	502	983
338	503	981
339	504	978
340	505	976
341	506	973
342	507	971
343	507	968
344	508	965
345	509	962
346	510	959
347	511	957
348	512	955
349	512	952
350	513	950
351	514	947
352	515	944
353	516	942
354	517	940
355	518	938
356	519	935
357	520	933
358	521	930
359	522	928
360	523	925
361	524	923
362	524	921
363	525	918
364	526	915
365	527	913
366	528	911
367	529	908
368	530	906
369	530	904
370	531	901
371	532	899
372	533	896
373	534	894
374	535	892
375	536	889
376	537	887
377	537	885
378	538	882
379	539	879
380	540	877
381	541	875
382	541	872
383	542	870
384	543	868
385	544	865
386	545	863
387	545	861
388	546	858
389	547	856
390	548	854
391	549	851
392	549	849
393	550	847
394	551	844
395	552	842
396	553	840
397	554	838
398	554	835
399	555	833
400	556	831
401	557	829
402	558	827
403	559	824
404	559	822
405	560	820
406	561	818
407	562	815
408	563	813
409	563	811
410	564	809
411	565	806
412	566	804
413	567	802
414	567	800
415	568	798
416	569	796
417	570	793
418	571	791
419	571	789
420	572	787
421	573	785
422	574	783
423	575	781
424	576	779
425	576	777
426	577	775
427	578	773
428	579	771
429	580	768
430	580	766
431	581	764
432	582	762
433	583	760
434	583	758
435	584	756
436	585	754
437	586	752
438	587	750
439	588	748
440	588	746
441	589	744
442	590	742
443	591	740
444	592	738
445	593	736
446	593	734
447	594	732
448	595	730
449	596	728
450	597	726
451	597	724
452	598	723
453	599	721
454	600	719
455	601	717
456	601	715
457	602	713
458	603	711
459	604	709
460	605	707
461	606	705
462	606	703
463	607	701
464	608	699
465	609	697
466	609	696
467	610	694
468	612	693
469	613	691
470	614	689
471	615	688
472	615	686
473	616	684
474	617	682
475	618	680
476	619	679
477	620	677
478	620	675
479	621	673
480	622	671
481	623	670
482	624	668
483	625	666
484	627	665
485	628	664
486	629	662
487	629	660
488	630	659
489	631	657
490	632	655
491	633	654
492	634	652
493	635	650
494	636	649
495	637	647
496	638	645
497	639	644
498	639	642
499	640	640
500	641	639
501	642	637
502	643	635
503	644	634
504	645	632
505	646	630
506	647	629
507	647	627
508	648	625
509	649	624
510	650	622
511	651	620
512	652	619
513	653	617
514	654	616
515	655	614
516	655	612
517	656	611
518	657	609
519	658	608
520	659	606
521	660	604
522	661	603
523	662	601
524	663	599
525	663	598
526	664	596
527	665	594
528	666	593
529	666	591
530	667	589
531	668	588
532	669	586
533	670	584
534	671	583
535	671	581
536	672	579
537	673	578
538	674	576
539	675	575
540	676	573
541	676	572
542	677	570
543	678	568
544	679	567
545	680	565
546	681	564
547	681	562
548	682	560
549	683	559
550	684	557
551	685	556
552	685	554
553	686	552
554	687	551
555	688	549
556	689	548
557	690	546
558	690	545
559	691	543
560	692	541
561	693	540
562	694	538
563	694	537
564	695	535
565	696	534
566	697	532
567	698	530
568	698	529
569	699	527
570	700	526
571	701	524
572	702	523
573	703	521
574	704	520
575	704	518
576	705	517
577	706	515
578	707	514
579	707	512
580	708	511
581	709	509
582	710	508
583	711	506
584	712	505
585	712	503
586	713	502
587	714	500
588	715	499
589	716	497
590	716	496
591	717	494
592	718	493
593	719	491
594	720	490
595	721	488
596	721	487
597	722	485
598	723	484
599	724	482
600	725	481
601	725	479
602	726	478
603	727	476
604	728	475
605	729	474
606	730	472
607	730	471
608	731	469
609	732	468
610	733	466
611	734	465
612	734	463
613	735	462
614	736	461
615	737	459
616	738	458
617	738	456
618	739	455
619	740	453
620	741	452
621	742	451
622	743	449
623	743	448
624	744	446
625	745	445
626	746	443
627	747	442
628	748	441
629	749	440
630	750	438
631	751	437
632	751	435
633	752	434
634	753	433
635	754	431
636	755	430
637	756	429
638	757	427
639	758	426
640	758	425
641	759	423
642	760	422
643	761	421
644	762	419
645	763	418
646	764	417
647	765	415
648	766	414
649	767	413
650	768	412
651	769	410
652	770	409
653	771	408
654	772	406
655	773	405
656	773	404
657	774	402
658	775	401
659	776	400
660	777	398
661	778	397
662	779	396
663	780	395
664	781	393
665	782	392
666	783	391
667	784	389
668	785	388
669	785	387
670	786	385
671	787	384
672	788	383
673	789	381
674	790	380
675	791	379
676	791	377
677	792	376
678	793	375
679	794	373
680	795	372
681	796	371
682	796	369
683	797	368
684	798	367
685	799	365
686	800	364
687	801	363
688	802	362
689	802	360
690	803	359
691	804	358
692	805	356
693	806	355
694	807	354
695	808	353
696	809	351
697	810	350
698	811	349
699	811	347
700	812	346
701	813	345
702	814	344
703	815	342
704	816	341
705	816	340
706	817	338
707	818	337
708	819	336
709	820	335
710	821	333
711	822	332
712	823	331
713	823	330
714	824	328
715	825	327
716	826	326
717	827	325
718	828	323
719	829	322
720	830	321
721	830	319
722	832	318
723	833	317
724	834	316
725	835	315
726	836	314
727	837	312
728	838	311
729	839	310
730	840	309
731	841	307
732	842	306
733	843	305
734	843	304
735	844	303
736	845	301
737	846	300
738	847	299
739	848	298
740	849	296
741	850	295
742	851	294
743	853	293
744	854	292
745	855	291
746	856	290
747	858	289
748	859	288
749	860	286
750	862	285
751	863	284
752	864	283
753	864	282
754	865	281
755	867	279
756	868	278
757	869	277
758	870	276
759	871	275
760	872	274
761	873	272
762	874	271
763	875	270
764	876	269
765	877	268
766	878	266
767	879	265
768	880	264
769	881	263
770	882	261
771	883	260
772	884	259
773	885	258
774	886	257
775	887	256
776	888	254
777	889	253
778	890	252
779	891	251
780	892	250
781	893	249
782	894	247
783	895	246
784	896	245
785	897	244
786	898	243
787	899	241
788	900	240
789	901	239
790	902	238
791	903	237
792	904	236
793	905	234
794	906	233
795	907	232
796	908	231
797	910	230
798	911	229
799	911	227
800	912	226
801	913	225
802	914	224
803	915	223
804	917	222
805	919	221
806	920	220
807	921	218
808	922	217
809	923	216
810	923	215
811	924	214
812	925	212
813	927	211
814	928	210
815	930	209
816	932	208
817	932	207
818	934	206
819	935	205
820	937	204
821	938	203
822	939	202
823	940	200
824	941	199
825	942	198
826	943	197
827	944	196
828	946	195
829	946	193
830	948	192
831	949	191
832	950	190
833	952	189
834	953	188
835	955	187
836	973	189
837	974	188
838	975	187
839	976	186
840	978	184
841	979	183
842	981	182
843	982	181
844	983	180
845	984	179
846	986	178
847	987	176
848	988	175
849	989	174
850	990	173
851	991	172
852	992	170
853	993	169
854	994	168
855	996	167
856	997	166
857	998	165
858	999	164
859	1001	163
860	1002	161
861	1003	160
862	1004	159
863	1006	158
864	1006	157
865	1007	155
866	1008	154
867	1010	153
868	1010	152
869	1011	151
870	1012	150
871	1014	148
872	1015	147
873	1016	146
874	1016	145
875	1017	144
876	1018	142
877	1019	141
878	1021	140
879	1022	139
880	1022	138
881	1023	136
882	1024	135
883	1026	134
884	1027	133
885	1028	132
886	1029	131
887	1030	130
888	1031	128
889	1032	127
890	1033	126
891	1034	125
892	1035	124
893	1036	122
894	1037	121
895	1037	120
896	1038	119
897	1039	118
898	1040	116
899	1041	115
900	1041	114
901	1042	113
902	1043	112
903	1044	110
904	1045	109
905	1045	108
906	1046	107
907	1047	106
908	1048	104
909	1049	103
910	1049	102
911	1050	101
912	1051	100
913	1052	99
914	1053	97
915	1054	96
916	1054	95
917	1055	94
918	1056	93
919	1057	91
920	1058	90
921	1058	89
922	1059	88
923	1060	87
924	1061	86
925	1062	84
926	1063	83
927	1063	82
928	1064	81
929	1065	80
930	1066	79
931	1067	77
932	1067	76
933	1068	75
934	1069	74
935	1070	73
936	1071	72
937	1072	70
938	1073	69
939	1074	68
940	1075	67
941	1076	66
942	1077	65
943	1078	63
944	1079	62
945	1079	61
946	1080	60
947	1081	59
948	1082	58
949	1083	57
950	1084	55
951	1085	54
952	1086	53
953	1087	52
954	1088	51
955	1089	50
956	1090	48
957	1091	47
958	1092	46
959	1092	45
960	1093	44
961	1094	43
962	1095	42
963	1096	40
964	1097	39
965	1098	38
966	1099	37
967	1100	36
968	1101	35
969	1102	34
970	1103	32
971	1104	31
972	1105	30
973	1105	29
974	1106	28
975	1107	27
976	1108	26
977	1109	24
978	1110	23
979	1110	22
980	1111	21
981	1112	20
982	1113	19
983	1114	18
984	1115	16
985	1116	15
986	1117	14
987	1118	13
988	1119	12
989	1119	11
990	1120	10
991	1121	9
992	1122	7
993	1123	6
994	1124	5
995	1125	4
996	1126	3
997	1127	2
998	1128	1
999	1128	0
